Timestamp,Stock Symbol,Stock Close Price,Future Symbol,Future Close Price,Difference
2025-04-01T09:23:00+0530,NSE:CAMS,3723.65,NFO:CAMS25APRFUT,3651.7,71.95
2025-04-01T09:24:00+0530,NSE:CAMS,3710.05,NFO:CAMS25APRFUT,3635.05,75.0
2025-04-01T09:25:00+0530,NSE:CAMS,3695.05,NFO:CAMS25APRFUT,3625,70.05
2025-04-01T09:26:00+0530,NSE:CAMS,3695.05,NFO:CAMS25APRFUT,3630.1,64.95
2025-04-01T09:27:00+0530,NSE:CAMS,3688.05,NFO:CAMS25APRFUT,3619.05,69.0
2025-04-01T09:28:00+0530,NSE:CAMS,3686.5,NFO:CAMS25APRFUT,3617.2,69.3
2025-04-01T09:15:00+0530,NSE:TATAELXSI,5163.65,NFO:TATAELXSI25APRFUT,5025,138.65
2025-04-01T09:16:00+0530,NSE:TATAELXSI,5169.15,NFO:TATAELXSI25APRFUT,5031.05,138.1
2025-04-01T09:17:00+0530,NSE:TATAELXSI,5179.4,NFO:TATAELXSI25APRFUT,5054.3,125.1
2025-04-01T09:18:00+0530,NSE:TATAELXSI,5170.7,NFO:TATAELXSI25APRFUT,5045,125.7
2025-04-01T09:19:00+0530,NSE:TATAELXSI,5154.8,NFO:TATAELXSI25APRFUT,5012.35,142.45
2025-04-01T09:20:00+0530,NSE:TATAELXSI,5151.25,NFO:TATAELXSI25APRFUT,5015,136.25
2025-04-01T09:21:00+0530,NSE:TATAELXSI,5163.3,NFO:TATAELXSI25APRFUT,5024.85,138.45
2025-04-01T09:22:00+0530,NSE:TATAELXSI,5163,NFO:TATAELXSI25APRFUT,5034.7,128.3
2025-04-01T09:23:00+0530,NSE:TATAELXSI,5114.65,NFO:TATAELXSI25APRFUT,4984.15,130.5
2025-04-01T09:24:00+0530,NSE:TATAELXSI,5113.05,NFO:TATAELXSI25APRFUT,4983.35,129.7
2025-04-01T09:25:00+0530,NSE:TATAELXSI,5090,NFO:TATAELXSI25APRFUT,4955.2,134.8
2025-04-01T09:26:00+0530,NSE:TATAELXSI,5110,NFO:TATAELXSI25APRFUT,4975,135.0
2025-04-01T09:27:00+0530,NSE:TATAELXSI,5108.7,NFO:TATAELXSI25APRFUT,4970,138.7
2025-04-01T09:28:00+0530,NSE:TATAELXSI,5129.7,NFO:TATAELXSI25APRFUT,4998,131.7
